Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
CADL,Candel Therapeutics Inc.,120M,1.2M,2.10,3.5% - 9%,$5.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,CAN-2409,None,CAN-2409 Fast Track 2021,Phase 3 Data Readout Q4 2025,None,Oncology,Immunocore (IMCR) Agenus (AGEN),12 months,May 7 2025,EPS -0.35 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Oncology focus; early-stage pipeline; limited cash runway
CANF,Can-Fite BioPharma Ltd.,50M,150K,1.87,3% - 8%,$2.10 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Namodenoson,None,None,Phase 3 Data Readout Q3 2026,None,Oncology,Incyte (INCY) Merck (MRK),12 months,May 8 2025,EPS -0.15 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,Israel,Small-cap oncology; high-risk pipeline; cash runway constrained
CAPR,Capricor Therapeutics Inc.,150M,400K,1.92,3.2% - 8.5%,$5.40 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,Deramiocel,None,Deramiocel Fast Track 2023,Phase 3 Data Readout Q2 2026,Nippon Shinyaku,Cardiomyopathy,BridgeBio (BBIO) Alnylam (ALNY),15 months,May 7 2025,EPS -0.30 -8% Miss Revenue 4.2M +10% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,Cardiomyopathy focus; early-stage pipeline; partnership with Nippon Shinyaku
CELC,Celcuity Inc.,350M,200K,1.76,2.8% - 7.5%,$16.80 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Gedatolisib,None,None,Phase 3 Data Readout Q4 2026,Pfizer (PFE),Oncology,Amgen (AMGN) Pfizer (PFE),18 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate risk
CELU,Celularity Inc.,80M,300K,1.98,3.5% - 9%,$2.90 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,CYNK-001,None,None,Phase 1 Data Readout Q3 2026,None,Cell Therapy,Allogene (ALLO) Arcellx (ACLX),12 months,May 7 2025,EPS -0.25 -15% Miss Revenue 2.1M -10% Miss,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk cell therapy; limited cash runway; early-stage pipeline
CELZ,Creative Medical Technology Holdings Inc.,30M,50K,2.01,4% - 10%,$3.50 - 01:30 PM EDT 06/10/2025,No,Stable,Pre-Clinical,Healthcare,Biotechnology,CELZ-201,None,None,None,None,Regenerative Medicine,Lineage Cell (LCTX),12 months,May 8 2025,EPS -0.20 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),4 (C),SELL,USA,Pre-clinical regenerative medicine; high-risk; limited cash runway
CLDX,Celldex Therapeutics Inc.,1.8B,600K,1.65,2.5% - 7%,$38.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Barzolvolimab,None,Barzolvolimab Fast Track 2023,Phase 2 Data Readout Q1 2026,None,Immunology,Regeneron (REGN) AnaptysBio (ANAB),24 months,May 7 2025,EPS -0.60 -8% Miss Revenue 0.9M +5% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Promising immunology pipeline; barzolvolimab data key; stable finances[](https://finance.yahoo.com/quote/CLDX/)
CGEM,Cullinan Oncology Inc.,600M,400K,1.54,2.8% - 7.5%,$17.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Zipalertinib,None,None,Phase 3 Data Readout Q4 2026,Taiho Oncology,Oncology,Amgen (AMGN) Blueprint (BPMC),18 months,May 8 2025,EPS -0.90 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; Taiho partnership
CGON,CG Oncology Inc.,1.2B,500K,1.45,2.5% - 7%,$32.40 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Cretostimogene,None,Cretostimogene Fast Track 2023,Phase 3 Data Readout Q2 2026,None,Bladder Cancer,ImmunityBio (IBRX) Merck (MRK),24 months,May 7 2025,EPS -0.45 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Bladder cancer focus; promising phase 3 data; stable cash position
CGTX,Cognition Therapeutics Inc.,90M,200K,1.92,3.2% - 8.5%,$2.30 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,CT1812,None,None,Phase 2 Data Readout Q3 2026,None,Neurodegenerative Diseases,Annovis (ANVS) Alector (ALEC),12 months,May 8 2025,EPS -0.25 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk neuro focus; limited cash runway; early-stage pipeline
CHRS,Coherus BioSciences Inc.,150M,1.5M,2.01,3.5% - 9%,$1.60 - 01:30 PM EDT 06/10/2025,No,Stable,Commercial,Healthcare,Biotechnology,UDENYCA,UDENYCA Nov 2018,UDENYCA Fast Track 2018,Commercial Expansion Q4 2025,None,Biosimilars,Amgen (AMGN) Viatris (VTRS),18 months,May 7 2025,EPS -0.15 +10% Beat Revenue 77.2M +8% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,UDENYCA commercialized; biosimilar focus; moderate growth
CKPT,Checkpoint Therapeutics Inc.,80M,600K,1.87,3% - 8%,$2.20 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Cosibelimab,None,Cosibelimab Fast Track 2022,Phase 3 Data Readout Q1 2026,None,Oncology,Regeneron (REGN) Bristol Myers (BMY),12 months,May 8 2025,EPS -0.30 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; pivotal data critical
CLSD,Clearside Biomedical Inc.,90M,400K,1.92,3.2% - 8.5%,$1.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,CLS-AX,None,None,Phase 2b Data Readout Q4 2025,None,Ophthalmology,Regeneron (REGN) Bausch (BHC),12 months,May 7 2025,EPS -0.15 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Ophthalmology focus; early-stage pipeline; cash runway constrained[](https://finance.yahoo.com/quote/CRVS/)
CLLS,Cellectis S.A.,200M,150K,1.76,2.8% - 7.5%,$2.50 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,UCART123,None,None,Phase 1 Data Readout Q3 2026,Allogene (ALLO),Cell Therapy,Allogene (ALLO) Arcellx (ACLX),15 months,May 8 2025,EPS -0.35 -10% Miss Revenue 1.8M -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,France,High-risk cell therapy; limited cash runway; early-stage pipeline[](https://finance.yahoo.com/quote/CLLS/)
CMPX,Compass Therapeutics Inc.,120M,300K,1.65,3% - 8%,$1.40 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,CTX-009,None,None,Phase 2 Data Readout Q2 2026,None,Oncology,Amgen (AMGN) Incyte (INCY),12 months,May 7 2025,EPS -0.25 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Oncology focus; early-stage pipeline; cash runway limited
CNTA,Centessa Pharmaceuticals plc,800M,400K,1.54,2.5% - 7%,$9.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,SerpinPC,None,SerpinPC Fast Track 2023,Phase 2b Data Readout Q4 2025,None,Hemophilia,CSL Behring Novo Nordisk (NVO),20 months,May 8 2025,EPS -0.40 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,UK,Hemophilia focus; promising pipeline; stable cash position
COGT,Cogent Biosciences Inc.,650M,700K,1.87,2.8% - 7.5%,$8.90 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Bezuclastinib,None,None,Phase 3 Data Readout Q3 2026,None,Oncology,Blueprint (BPMC) Amgen (AMGN),18 months,May 7 2025,EPS -0.55 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate risk
COYA,Coya Therapeutics Inc.,200M,150K,1.92,3.2% - 8.5%,$7.20 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,COYA 301,None,None,Phase 2 Data Readout Q4 2026,None,Neurodegenerative Diseases,Annovis (ANVS) Alector (ALEC),15 months,May 8 2025,EPS -0.30 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Neuro focus; early-stage pipeline; moderate cash runway
CORT,Corcept Therapeutics Inc.,3.2B,800K,1.45,2% - 6%,$34.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,KORLYM,KORLYM Feb 2012,None,Phase 3 Data Readout Relacorilant Q1 2026,None,Endocrinology,Pfizer (PFE) Novo Nordisk (NVO),N/A,May 7 2025,EPS 0.25 +15% Beat Revenue 146.8M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,KORLYM strong commercial performance; pipeline advancing; financially stable
CPRX,Catalyst Pharmaceuticals Inc.,2.6B,1.2M,1.34,2% - 6%,$25.90 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,FIRDAPSE AGAMREE,FIRDAPSE Nov 2018 AGAMREE Oct 2023,FIRDAPSE Fast Track 2018,Phase 4 Data Readout Q3 2026,BioMarin (BMRN) Endo Ventures,Rare Diseases,BioMarin (BMRN) Ultragenyx (RARE),N/A,May 8 2025,EPS 0.45 +20% Beat Revenue 141.4M +15% Beat,Aug 6 2025 (est.),8 (A-),STRONG BUY,USA,Strong commercial growth with FIRDAPSE; AGAMREE sales ramping; financially stable[](https://stockanalysis.com/stocks/cprx/)
CRBP,Corbus Pharmaceuticals Holdings Inc.,450M,1.1M,1.76,2.8% - 7.5%,$9.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,CRB-701,None,None,Phase 2 Data Readout Q4 2025,None,Oncology,Amgen (AMGN) Merck (MRK),18 months,May 7 2025,EPS -0.20 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),BUY,USA,Oncology focus; early-stage pipeline; promising data
CRIS,Curis Inc.,80M,200K,1.92,3.2% - 8.5%,$4.50 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Emavusertib,None,None,Phase 2 Data Readout Q3 2026,None,Oncology,Incyte (INCY) Blueprint (BPMC),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 2.5M -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
CRMD,CorMedix Inc.,200M,500K,1.65,2.5% - 7%,$5.60 - 01:30 PM EDT 06/10/2025,No,Stable,Commercial,Healthcare,Biotechnology,DEFENCATH,DEFENCATH Oct 2023,DEFENCATH Fast Track 2022,Commercial Expansion Q4 2025,None,Antimicrobial Therapy,Becton Dickinson (BDX),18 months,May 7 2025,EPS -0.15 +10% Beat Revenue 0.8M +12% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,DEFENCATH recently approved; commercial ramp-up critical; moderate cash runway
CRNX,Crinetics Pharmaceuticals Inc.,2.5B,600K,1.54,2.5% - 7%,$48.70 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,Paltusotine,None,Paltusotine Fast Track 2023,Phase 3 Data Readout Q1 2026,None,Endocrinology,Ascendis (ASND) Amgen (AMGN),24 months,May 8 2025,EPS -0.85 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Endocrinology focus; paltusotine pivotal data key; stable cash position
CRSP,CRISPR Therapeutics AG,4.8B,1.9M,1.87,2.5% - 7%,$58.40 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Casgevy,Casgevy Dec 2023,Casgevy Fast Track 2022,Phase 3 Data Readout CTX112 Q4 2025,Vertex (VRTX),Gene Editing,Beam (BEAM) Intellia (NTLA),24 months,May 7 2025,EPS -1.45 -10% Miss Revenue 0.5M -8% Miss,Aug 5 2025 (est.),8 (A-),BUY,Switzerland,Casgevy approved; strong Vertex partnership; expanding pipeline
CTMX,CytomX Therapeutics Inc.,150M,700K,1.92,3.2% - 8.5%,$1.40 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,CX-904,None,None,Phase 1 Data Readout Q3 2026,Amgen (AMGN),Oncology,Regeneron (REGN) Bristol Myers (BMY),12 months,May 8 2025,EPS -0.15 -12% Miss Revenue 25.2M +10% Beat,Aug 6 2025 (est.),5 (B-),HOLD,USA,Oncology focus; early-stage pipeline; Amgen partnership key
CYTK,Cytokinetics Incorporated,4.5B,1.1M,1.76,2.5% - 7%,$55.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Omecamtiv Mecarbil,None,Omecamtiv Fast Track 2020,Phase 3 Data Readout Aficamten Q1 2026,None,Cardiomyopathy,BridgeBio (BBIO) Alnylam (ALNY),24 months,May 7 2025,EPS -1.35 -10% Miss Revenue 0.9M -5% Miss,Aug 5 2025 (est.),7 (B+),BUY,USA,Aficamten pivotal data critical; strong cash position; commercial potential
DAWN,Day One Biopharmaceuticals Inc.,1.2B,600K,1.65,2.8% - 7.5%,$14.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Tovorafenib,Ojemda Apr 2024,Ojemda Fast Track 2022,Phase 3 Data Readout Q4 2025,None,Pediatric Oncology,Blueprint (BPMC) Loxo (LLY),18 months,May 8 2025,EPS -0.65 -8% Miss Revenue 8.2M +12% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,Ojemda recently approved; pediatric focus; stable cash runway
DNLI,Denali Therapeutics Inc.,2.8B,800K,1.54,2.5% - 7%,$24.30 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,DNL310,None,DNL310 Fast Track 2021,Phase 2 Data Readout Q2 2026,Biogen (BIIB) Sanofi (SNY),Neurodegenerative Diseases,Alector (ALEC) Annovis (ANVS),24 months,May 7 2025,EPS -0.75 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Neuro focus; strong partnerships; promising pipeline
DVAX,Dynavax Technologies Corporation,1.4B,1.3M,1.45,2% - 6%,$11.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,HEPLISAV-B,HEPLISAV-B Nov 2017,None,Commercial Expansion Q4 2025,None,Vaccines,GSK (GSK) Moderna (MRNA),N/A,May 8 2025,EPS 0.05 +15% Beat Revenue 75.6M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,HEPLISAV-B strong commercial performance; stable finances
EDIT,Editas Medicine Inc.,350M,1.5M,1.92,3% - 8%,$5.10 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,EDIT-301,None,EDIT-301 Fast Track 2022,Phase 1/2 Data Readout Q4 2025,None,Gene Editing,CRISPR (CRSP) Beam (BEAM),15 months,May 7 2025,EPS -0.80 -12% Miss Revenue 7.1M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,USA,Gene editing focus; early-stage pipeline; cash runway limited[](https://ir.editasmedicine.com/static-files/b5d9235d-41cc-4266-8526-b5d8618c431b)
ELAN,Elanco Animal Health Incorporated,6.8B,2.1M,1.34,1.8% - 5%,$14.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Animal Health,Zenrelia Credelio,Multiple Products,None,Commercial Expansion Q4 2025,Bayer Animal Health,Animal Health,Zoetis (ZTS) Merck Animal Health,N/A,May 7 2025,EPS 0.20 +12% Beat Revenue 1.2B +8% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong animal health portfolio; recent product approvals; financially stable
ELEV,Elevation Oncology Inc.,80M,400K,2.01,3.5% - 9%,$0.85 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Seribantumab,None,None,Phase 2 Data Readout Q3 2026,None,Oncology,Cullinan (CGEM) Incyte (INCY),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
ELVN,Enliven Therapeutics Inc.,1.1B,300K,1.54,2.5% - 7%,$24.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,ELVN-001,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Blueprint (BPMC) Amgen (AMGN),20 months,May 7 2025,EPS -0.45 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),BUY,USA,Oncology focus; early-stage pipeline; stable cash position
ENTA,Enanta Pharmaceuticals Inc.,300M,200K,1.76,2.8% - 7.5%,$12.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,EDP-938,None,None,Phase 2 Data Readout Q2 2026,None,Antiviral Therapy,Atea (AVIR) Gilead (GILD),18 months,May 8 2025,EPS -1.25 -10% Miss Revenue 17.8M -5% Miss,Aug 6 2025 (est.),6 (B),HOLD,USA,Antiviral focus; early-stage pipeline; moderate cash runway
EOLS,Evolus Inc.,650M,600K,1.45,2% - 6%,$12.30 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Jeuveau,Jeuveau Feb 2019,None,Commercial Expansion Q4 2025,None,Aesthetics,Allergan (ABBV) Galderma,N/A,May 7 2025,EPS -0.10 +10% Beat Revenue 59.3M +12% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Jeuveau strong aesthetics market performance; expanding indications
EPIX,ESSA Pharma Inc.,200M,150K,1.92,3.2% - 8.5%,$6.80 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Masofaniten,None,None,Phase 2 Data Readout Q3 2026,Janssen (JNJ),Oncology,Pfizer (PFE) Astellas (ALPMY),15 months,May 8 2025,EPS -0.35 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),HOLD,Canada,Oncology focus; early-stage pipeline; Janssen partnership
ERAS,Erasca Inc.,650M,700K,1.65,2.5% - 7%,$3.10 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,Naporafenib,None,None,Phase 3 Data Readout Q4 2025,Novartis (NVS),Oncology,Blueprint (BPMC) Amgen (AMGN),18 months,May 7 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),BUY,USA,Oncology focus; naporafenib pivotal data key; Novartis partnership
ETNB,89bio Inc.,600M,500K,1.87,2.8% - 7.5%,$8.50 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Pegozafermin,None,Pegozafermin Fast Track 2022,Phase 3 Data Readout Q2 2026,None,NASH,Akero (AKRO) Madrigal (MDGL),20 months,May 8 2025,EPS -0.55 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,USA,NASH focus; promising phase 2 data; stable cash position
EXAI,Exscientia plc,650M,400K,1.54,2.5% - 7%,$5.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,EXS-21546,None,None,Phase 1 Data Readout Q3 2026,BMS (BMY) Sanofi (SNY),AI-Driven Drug Discovery,Absci (ABSI) Recursion (RXRX),18 months,May 7 2025,EPS -0.40 -10% Miss Revenue 10.5M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,UK,AI-driven platform; early-stage pipeline; strong partnerships
EXEL,Exelixis Inc.,6.2B,1.8M,1.34,1.8% - 5%,$26.80 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Cabometyx Cometriq,Cabometyx Apr 2016 Cometriq Nov 2012,Cabometyx Fast Track 2015,Phase 3 Data Readout Zanzalintinib Q1 2026,BMS (BMY) Roche (RHHBY),Oncology,Amgen (AMGN) Pfizer (PFE),N/A,May 7 2025,EPS 0.35 +15% Beat Revenue 425.2M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Cabometyx strong commercial performance; robust pipeline
EYEN,Eyenovia Inc.,80M,600K,2.01,3.5% - 9%,$0.90 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Mydcombi,Mydcombi May 2023,Mydcombi Fast Track 2022,Commercial Expansion Q4 2025,Arctic Vision,Ophthalmology,Apellis (APLS) Bausch (BHC),12 months,May 8 2025,EPS -0.20 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),HOLD,USA,Mydcombi approved; commercial ramp-up critical; limited cash runway
EYPT,EyePoint Pharmaceuticals Inc.,450M,500K,1.76,2.8% - 7.5%,$9.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,YUTIQ,YUTIQ Oct 2018,YUTIQ Fast Track 2018,Phase 3 Data Readout EYP-1901 Q4 2025,None,Ophthalmology,Regeneron (REGN) Apellis (APLS),18 months,May 7 2025,EPS -0.35 -8% Miss Revenue 11.8M +10% Beat,Aug 5 2025 (est.),6 (B),BUY,USA,YUTIQ commercialized; EYP-1901 data key; moderate cash runway
FDMT,4D Molecular Therapeutics Inc.,650M,400K,1.87,3% - 8%,$14.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,4D-150,None,4D-150 Fast Track 2023,Phase 2 Data Readout Q3 2026,UniQure (QURE),Gene Therapy,Abeona (ABEO) Krystal (KRYS),20 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Gene therapy focus; early-stage pipeline; stable cash position
FGEN,FibroGen Inc.,90M,1.2M,2.10,3.5% - 9%,$0.95 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Pamrevlumab,None,None,Phase 3 Data Readout Q4 2025,AstraZeneca (AZN),Fibrosis,Akero (AKRO) 89bio (ETNB),12 months,May 7 2025,EPS -0.30 -12% Miss Revenue 36.4M -5% Miss,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk fibrosis focus; limited cash runway; pivotal data critical
FOLD,Amicus Therapeutics Inc.,2.8B,1.4M,1.45,2% - 6%,$10.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Galafold Pombiliti,Galafold Aug 2018 Pombiliti Sep 2023,Galafold Fast Track 2017,Phase 4 Data Readout Q3 2026,None,Rare Diseases,BioMarin (BMRN) Ultragenyx (RARE),N/A,May 8 2025,EPS -0.05 +12% Beat Revenue 110.5M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Strong rare disease portfolio; Galafold sales robust; financially stable
FTRE,Fortrea Holdings Inc.,2.2B,900K,1.34,1.8% - 5%,$24.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,CRO,N/A,N/A,N/A,N/A,None,Clinical Research Services,Labcorp (LH) IQVIA (IQV),N/A,May 7 2025,EPS 0.25 +10% Beat Revenue 775.3M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,CRO services stable; strong client base; financially sound
FULC,Fulcrum Therapeutics Inc.,350M,600K,1.92,3% - 8%,$6.80 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Losmapimod,None,Losmapimod Fast Track 2021,Phase 3 Data Readout Q4 2025,None,Rare Diseases,Amicus (FOLD) BioMarin (BMRN),18 months,May 8 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,USA,Rare disease focus; losmapimod pivotal data key; stable cash position
GERN,Geron Corporation,2.1B,2.5M,1.76,2.8% - 7.5%,$4.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Rytelo,Rytelo Jun 2024,Rytelo Fast Track 2023,Commercial Expansion Q4 2025,None,Hematology,Jazz (JAZZ) Amgen (AMGN),24 months,May 7 2025,EPS -0.10 +8% Beat Revenue 0.3M +10% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Rytelo recently approved; commercial ramp-up critical; stable finances
GILD,Gilead Sciences Inc.,138.5B,6.2M,1.34,1.8% - 5%,$110.75 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,Biktarvy Yescarta Trodelvy,Biktarvy Feb 2018 Yescarta Oct 2017 Trodelvy Apr 2020,Biktarvy Fast Track 2017,Phase 3 Data Readout GS-1427 Q1 2026,Arcus Biosciences Merck (MRK) Arcellx (ACLX),HIV Oncology,Amgen (AMGN) Pfizer (PFE),N/A,May 7 2025,EPS 1.85 +15% Beat Revenue 6.7B +8% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong HIV and oncology portfolio; robust commercial revenue; recent FDA trial halts a concern[](https://www.tradingview.com/symbols/NASDAQ-GILD/)
GLPG,Galapagos NV,1.2B,200K,1.45,2% - 6%,$27.50 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,JYSELECA,JYSELECA (EU Approved 2020),None,Phase 3 Data Readout GLPG3667 Q4 2025,Gilead (GILD),Immunology,Incyte (INCY) AbbVie (ABBV),18 months,May 8 2025,EPS -0.35 -10% Miss Revenue 65.2M +5% Beat,Aug 6 2025 (est.),6 (B),HOLD,Belgium,Immunology focus; JYSELECA approved in EU; limited US presence
GLSI,Greenwich LifeSciences Inc.,350M,150K,1.92,3.2% - 8.5%,$12.22 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,GP2,None,None,Phase 3 Data Readout Q3 2026,None,Breast Cancer,SELLAS (SLS) Merck (MRK),15 months,May 7 2025,EPS -0.25 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Breast cancer vaccine; early-stage pipeline; cash runway constrained[](https://macrotrends.net/stocks/charts/GLSI/greenwich-lifesciences/stock-price-history)
GLYC,GlycoMimetics Inc.,80M,600K,2.01,3.5% - 9%,$0.45 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Uproleselan,None,Uproleselan Fast Track 2017,Phase 3 Data Readout Q4 2025,None,Hematology,Jazz (JAZZ) Amgen (AMGN),12 months,May 8 2025,EPS -0.15 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk hematology; uproleselan pivotal data critical; limited cash runway[](https://finance.yahoo.com/quote/GLYC/)
